#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   2                    0                  3.7                    0     1.23011926139968     276.505855935326
                   2                    0                  3.7                    0      1.2301140825767     270.165955391974
                   2                    0                  3.7                    0     1.23010890375373     263.826054848622
                   2                    0                  3.7                    0     1.23010372493076      257.48615430527
                   2                    0                  3.7                    0     1.23009854610779     251.146253761918
    1.43769858984234     4.96689930909281                  3.7                    0     1.23009336728481     244.806353218566
                   2                    0                6.359                    0    0.312630350229929     129.078092086847
                   2                    0                6.359                    0    0.312487776391582     128.170102899857
                   2                    0                6.359                    0    0.312345202553236     127.262113712867
                   2                    0                6.359                    0     0.31220262871489     126.354124525877
                   2                    0                6.359                    0    0.312060054876544     125.446135338887
                   2                    0                6.359                    0    0.311917481038198     124.538146151897
    0.20232259801486     4.76644881918722                6.359                    0    0.311774907199852     123.630156964907
                   2                    0                  3.7                    0     1.23053001149138     358.937022901009
                   2                    0                  3.7                    0     1.23053929160272     358.936862897597
                   2                    0                  3.7                    0     1.23054857171407     358.936702894185
                   2                    0                  3.7                    0     1.23055785182542     358.936542890772
                   2                    0                  3.7                    0     1.23056713193676      358.93638288736
                   2                    0                  3.7                    0     1.23057641204811     358.936222883947
                   2                    0                  3.7                    0     1.23058569215946     358.936062880535
                   2                    0                  3.7                    0      1.2305949722708     358.935902877122
                   2                    0                  3.7                    0     1.23060425238215      358.93574287371
                   2                    0                  3.7                    0      1.2306135324935     358.935582870297
                   2                    0                  3.7                    0     1.23062281260485     358.935422866885
                   2                    0                  3.7                    0     1.23063209271619     358.935262863472
                   2                    0                  3.7                    0     1.23064137282754      358.93510286006
                   2                    0                  3.7                    0     1.23065065293889     358.934942856647
                   2                    0                  3.7                    0     1.23065993305023     358.934782853235
                   2                    0                  3.7                    0     1.23066921316158     358.934622849823
                   2                    0                  3.7                    0     1.23067849327293      358.93446284641
                   2                    0                  3.7                    0     1.23068777338427     358.934302842998
    1.54403634025311     4.96196893730776                  3.7                    0     1.23069705349562     358.934142839585
                   2                    0                6.359                    0    0.285538251061171     130.699246887134
    1.47037917545504   0.0740724200199095                6.359                    0    0.296021870210529     110.142294649134
    1.99999999999997                    0                  3.7                    0     1.23024048081309     358.828928977113
                   2                    0                  3.7                    0      1.2303055976126     347.781698999274
