#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                  10                    0                  3.7                    0     1.15634343507334     355.527906410864
                  10                    0                  3.7                    0     1.16498853647805     354.782661961077
    5.71790987962947     4.71608380286415                  3.7                    0     1.17363363788276     354.037417511289
                  10                    0                6.359                    0    0.294897390961005     135.701799580159
    1.89008859858922     4.61952982198602                6.359                    0    0.285499816694987     267.316610676777
                  10                    0                  3.7                    0     1.32389838777136     352.002699191258
    10.0000000000001                    0                  3.7                    0     1.33931549204482     348.476726625124
                  10                    0                  3.7                    0     1.35473259631828      344.95075405899
    5.92607619212981     2.01007059748811                  3.7                    0     1.37014970059174     341.424781492857
    4.04404411997893     3.14906863640844                6.359                    0    0.297801473821468     291.767946159369
                  10                    0                  3.7                    0     1.17453746388633     99.4742228861327
                  10                    0                  3.7                    0     1.19840110067099     138.082197016599
                  10                    0                  3.7                    0     1.22226473745566     176.690171147065
    4.06308209196095     4.39305314922472                  3.7                    0     1.24612837424033     215.298145277531
    10.0000000000001                    0                6.359                    0    0.284858323806694     85.0578644201632
    2.56331560825163     1.75030082405395                6.359                    0     0.29281748009501     260.914809822331
    10.0000000000001                    0                  3.7                    0     1.32292435801173     350.011711549159
                  10                    0                  3.7                    0     1.32919695516857     351.312182704844
                  10                    0                  3.7                    0      1.3354695523254     352.612653860529
     5.0541707687895     7.49636667313358                  3.7                    0     1.34174214948224     353.913125016215
    3.94342378204919     1.37512192478407                6.359                    0    0.288296545865286     188.465414887687
    10.0000000000001                    0                  3.7                    0     1.31355275655941     358.967960467387
                  10                    0                  3.7                    0      1.2988413393789     358.380802197803
                  10                    0                  3.7                    0     1.28412992219838     357.793643928219
    6.01198382769701     15.1788655914333                  3.7                    0     1.26941850501787     357.206485658636
                  10                    0                6.359                    0    0.300106446415477     87.2706356876421
    1.55741305487913     5.59118860207325                6.359                    0     0.29225401795314     253.834204303092
                   0                    0                    0                    0                    0     253.834204303092
